freq,purpose,c_dest,duration,age,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	1043542 	1288131 u	3414393 	4475413 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	5994220 u	5428224 u
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	442138 	399041 	1120325 	1219491 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	268374 	436104 	860914 	1197911 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	583925 u	858490 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	45779 u	257088 	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	72084 u	124571 u	295024 	398432 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	3521968 	4416567 	13299850 	19082897 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	2922908 	2214752 u
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	1616376 	2611395 	4761092 	5068060 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	598494 	1181330 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	325612 u	233955 u
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	1958933 u	: u	: u	: 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	682913 	754624 	1361813 
A,PER,NEU27_2020_FOR,N_GE1,Y25-34,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	816621 u
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	262427 	: 	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	1945139 	4467164 	11732126 	12265423 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	3217901 	6475445 	9176945 	12317984 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	713472 	698921 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	5661799 u	6996892 	10976498 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	619715 u	1478235 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	2755982 u	4117079 	4469093 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	21026834 	38487895 	107390542 	121977821 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	2739573 u	1627251 u	4651057 	3964183 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	62580134 	91900111 	229050867 	271689594 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	706264 	575376 	991067 	1273898 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	559062 	625211 	1362521 	1561111 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	8364546 	10333872 	24295509 	31535837 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	75953724 	106900522 	258601759 	302912577 e
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	2352154 	2658478 u	5638541 	6103670 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	8533719 	5705798 	17635856 	25002278 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	765424 	715775 	966445 	1350372 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1353756 	1393137 	2364804 	3137226 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	2037724 	2647012 	6148537 	6877675 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	4960880 u	: u	11853230 	10707592 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	786931 	875737 	2469976 	2737467 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	530207 	1044275 	1758674 	2265963 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	455509 u	1173719 	1742482 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	120083 u	446038 	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	155559 	228580 	434886 	640168 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	5549546 	7884157 	20819192 	25056070 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	5146282 	3585494 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	4663636 	5619491 	10765570 	11672091 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	301824 u	796047 u	1814248 	2108012 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	407243 u	748317 	812225 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	3958055 	: u	6190594 u	: 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	1142519 	1286083 	2272814 
A,PER,NEU27_2020_FOR,N_GE1,Y25-44,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	1483055 u	2414722 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	122602 u	: 	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	825803 	1589581 	6801925 	4510445 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1693110 	3439531 	4260166 	5430326 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	355916 u	386550 u
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	2199791 u	7544697 u	: 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	854539 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	1715072 u	1979868 	2579223 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	7447623 u	13473972 u	37302236 	36318916 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	1133556 u	: u	1478659 u	1964960 u
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	29883247 	41170163 	99672118 	105652201 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	457441 u	: u	448786 u	720291 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	394097 u	250870 u	813781 	919254 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	5698407 	6929445 	15396416 	21026764 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	37295354 	49519134 	114259017 	122991706 e
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	1236593 u	: u	2381817 u	2670192 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	4541686 	2607491 	9857501 	11631985 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	232414 u	233266 u	474612 	767144 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	872881 	829398 	1359510 	2106313 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	994182 	1358881 	2734144 	2402262 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	5859010 u	5279368 u
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	344793 	476696 	1349651 	1517975 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	261834 	608171 	897759 	1068052 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	267536 u	589794 u	883992 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	188950 	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	139862 u	241736 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2027578 	3467590 	7519342 	5973173 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	2223374 	1370742 u
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	3047260 	3008097 	6004478 	6604030 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	135607 u	: u	1215754 	926682 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	236351 u	422705 u	578270 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	1999122 u	: u	: u	: 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	459607 	531460 	911002 
A,PER,NEU27_2020_FOR,N_GE1,Y35-44,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	715325 u	1598101 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	187309 u	: 	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	1035407 u	1265508 u	2900022 	4636210 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1987035 	3049556 	4352119 	5322221 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	435189 	345960 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	1979673 u	: u	2747821 u	: 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	597926 u	: u	798109 u	840131 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	1223006 u	2933182 	2955696 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	15925774 u	12317032 u	26561910 	42158980 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	2640708 u	: u	2339185 	2774426 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	36826941 	35886945 	87478160 	110214886 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	265834 u	423359 u	502680 	629863 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	485808 	418574 u	537051 	769352 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1807304 	5099785 	11562022 	12058734 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	45860754 	43330563 	103353299 	128669877 e
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	1299672 u	: u	1583693 u	1798440 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	5633677 	4535243 	12370786 	12653324 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	107810 u	364644 u	504396 	650690 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	629642 	851867 	1181001 	1871716 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	906913 	742136 	2596146 	4351137 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	2834618 u	7115330 	6032121 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	271856 	294106 	750773 	915602 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	214090 	249308 	602756 	652377 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	457134 	600352 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	133066 	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	134126 u	254052 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2544305 	2119405 	11496934 	11896052 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	3123731 	1444065 u
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	2381797 	2547705 	5134082 	6161370 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	395929 	354655 u	1149289 	1345633 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	191307 u	519831 u
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	2902128 u	2062057 u	3661193 u	: 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	374614 	690929 	869636 
A,PER,NEU27_2020_FOR,N_GE1,Y45-54,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	811954 u	1779979 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	245653 	: 	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	2014280 	2089151 	4979673 	9727335 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	3543010 	4997210 	7650547 	9580666 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	287061 u	199189 u	779074 	773715 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	3882002 u	4138432 u	5329120 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	954540 u	424214 u	1179279 u	1526547 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	1707463 u	5116288 	4843929 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	26757200 	26320025 	59599157 	91225811 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	3927241 	1162799 u	4093003 	4742234 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	67308001 	68325762 	168712625 	222234344 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	391358 u	721309 	907626 	1115543 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	623886 	768515 	1470498 	1508533 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	4425743 	9354528 	18592578 	20914036 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	83915111 	84696786 	200012529 	257329254 e
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	2540915 	880715 u	3707618 	3805029 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	10884083 	8247100 	25421560 	30831979 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	312517 	696168 	1077309 	1680006 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1218832 	1545098 	2478683 	3068333 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	1729449 	1331770 	5723992 	8431978 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	5413540 u	4266800 u	11687947 	10562856 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	400283 	488309 	1410246 	1579043 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	463159 	428851 	1355830 	1221978 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	357829 u	643532 u	902357 	1190504 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	187451 u	190780 	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	104808 u	215470 u	184062 	360627 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	5117611 	4677912 	17996280 	19968051 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	5034078 	3409987 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	4657128 	5596119 	10099965 	12192902 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	866886 	788538 	2243343 	2496498 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	392467 u	400887 	766753 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	5842557 	5767890 u	8332005 u	: 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	631311 	1422359 	1535458 
A,PER,NEU27_2020_FOR,N_GE1,Y45-64,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	1200364 	2971866 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	978873 u	823643 u	2079651 	5091125 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1555975 	1947655 	3298428 	4258445 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	343885 	427755 u
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	1902328 u	2421071 u	2581298 u	: 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	381170 u	686416 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	484456 u	2183106 	1888232 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	10831426 u	14002993 u	33037247 	49066831 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	1286533 u	: u	1753818 	1967807 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	30481060 	32438817 	81234465 	112019458 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	297949 u	404947 u	485680 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	138078 u	349941 u	933447 	739181 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	2618440 	4254743 	7030556 	8855302 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	38054357 	41366224 	96659230 	128659377 e
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	1241243 u	: u	2123925 u	2006589 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	5250406 	3711858 	13050774 	18178655 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	204707 u	331524 	572913 	1029316 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	589190 	693231 	1297682 	1196617 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	822536 	589634 	3127846 	4080841 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	4572617 u	4530735 u
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	128427 	194203 	659473 	663441 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	249069 	179544 	753073 	569601 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	445223 u	590152 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	153089 u	57714 u	: 	: 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	49936 u	106574 u
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2573306 	2558507 	6499345 	8071999 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	1910346 	1965922 u
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	2275331 	3048413 	4965883 	6031531 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	470956 	433882 	1094054 	1150865 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	209579 u	246922 u
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	2940430 u	3705833 u	4670812 u	: 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	256697 u	731430 	665822 
A,PER,NEU27_2020_FOR,N_GE1,Y55-64,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	388410 u	1191887 u
