freq,c_dest,purpose,duration,sex,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,EU27_2020_FOR,PER,N_GE1,T,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	6040884 	8845429 	16791163 	19621815 
A,EU27_2020_FOR,PER,N_GE1,T,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	243030 	246873 	630558 	1013244 
A,EU27_2020_FOR,PER,N_GE1,T,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1905161 	1976433 	4091998 	4586607 
A,EU27_2020_FOR,PER,N_GE1,T,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	850525 	862625 	3979938 	4572925 
A,EU27_2020_FOR,PER,N_GE1,T,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	1808737 	2718243 	5758578 	5503169 
A,EU27_2020_FOR,PER,N_GE1,T,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	337109 	421475 	910033 	1034779 
A,EU27_2020_FOR,PER,N_GE1,T,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	1138384 	1476294 	2149224 	2241401 
A,EU27_2020_FOR,PER,N_GE1,T,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	300743 	322014 	866247 	1027321 
A,EU27_2020_FOR,PER,N_GE1,T,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	32297 	104898 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,T,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	105267 	187898 	398573 	515034 
A,EU27_2020_FOR,PER,N_GE1,T,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	5333024 	9750465 	17089385 	18356584 
A,EU27_2020_FOR,PER,N_GE1,T,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	1485517 	5359893 	5138460 
A,EU27_2020_FOR,PER,N_GE1,T,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	4464113 	4859746 	8183800 	9233197 
A,EU27_2020_FOR,PER,N_GE1,T,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	350379 	551443 	1333708 	1772674 
A,EU27_2020_FOR,PER,N_GE1,T,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	351892 	788563 	1262171 	1590037 
A,EU27_2020_FOR,PER,N_GE1,T,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	2307780 	3297295 	10547617 	: 
A,EU27_2020_FOR,PER,N_GE1,T,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	981099 	1588407 	2331323 	2902947 
A,EU27_2020_FOR,PER,N_GE1,T,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	765137 	1289062 	2618100 	3214158 
A,EU27_2020_FOR,PER,N_GE4,F,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	49892 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE4,F,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	821074 	1940509 	3259197 	3612374 
A,EU27_2020_FOR,PER,N_GE4,F,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1735161 	2250733 	3825629 	3853763 
A,EU27_2020_FOR,PER,N_GE4,F,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	34526 u	: u	215441 	271591 
A,EU27_2020_FOR,PER,N_GE4,F,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	1720161 	2124473 	3341198 	: 
A,EU27_2020_FOR,PER,N_GE4,F,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	89648 	106818 	339943 	400253 
A,EU27_2020_FOR,PER,N_GE4,F,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	771169 	1056582 	2030712 	2151926 
A,EU27_2020_FOR,PER,N_GE4,F,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	9944691 	15287291 	25306884 	29202938 
A,EU27_2020_FOR,PER,N_GE4,F,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	804075 	784901 	1634081 	1627967 
A,EU27_2020_FOR,PER,N_GE4,F,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	20146221 	32245792 	57891653 	63304766 
A,EU27_2020_FOR,PER,N_GE4,F,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	69621 	117066 	203368 	247423 
A,EU27_2020_FOR,PER,N_GE4,F,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	61573 	96217 	188579 	230837 
A,EU27_2020_FOR,PER,N_GE4,F,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	730507 	1232569 	2788783 	3056754 
A,EU27_2020_FOR,PER,N_GE4,F,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	24596507 	37951441 	70446254 	77038069 e
A,EU27_2020_FOR,PER,N_GE4,F,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	427723 	344723 	1498627 	1350595 
A,EU27_2020_FOR,PER,N_GE4,F,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	2082890 	3463262 	6133267 	6457916 
A,EU27_2020_FOR,PER,N_GE4,F,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	71968 	81992 	175566 	252641 
A,EU27_2020_FOR,PER,N_GE4,F,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	430920 	579696 	1268974 	1448744 
A,EU27_2020_FOR,PER,N_GE4,F,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	313296 	358270 	1771721 	1891511 
A,EU27_2020_FOR,PER,N_GE4,F,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	560260 	1169931 	2348469 	2009724 
A,EU27_2020_FOR,PER,N_GE4,F,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	123124 	140559 	365842 	401113 
A,EU27_2020_FOR,PER,N_GE4,F,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	339652 	486618 	651592 	694741 
A,EU27_2020_FOR,PER,N_GE4,F,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	61962 u	94616 	257713 	277691 
A,EU27_2020_FOR,PER,N_GE4,F,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	9620 u	40424 	: 	: 
A,EU27_2020_FOR,PER,N_GE4,F,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	31013 	70274 	144200 	184548 
A,EU27_2020_FOR,PER,N_GE4,F,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2006198 	3851239 	6578232 	6852176 
A,EU27_2020_FOR,PER,N_GE4,F,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	484690 	1857694 	1972601 
A,EU27_2020_FOR,PER,N_GE4,F,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	1642206 	1776997 	3373166 	3817602 
A,EU27_2020_FOR,PER,N_GE4,F,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	113321 	214926 	471441 	580810 
A,EU27_2020_FOR,PER,N_GE4,F,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	165729 	369304 	550171 	720837 
A,EU27_2020_FOR,PER,N_GE4,F,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	601661 	1116572 	3482055 	: 
A,EU27_2020_FOR,PER,N_GE4,F,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	307624 	503796 	800693 	802988 
A,EU27_2020_FOR,PER,N_GE4,F,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	254915 	434383 	781905 	943970 
A,EU27_2020_FOR,PER,N_GE4,M,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	50244 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE4,M,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	688451 	1855981 	2973930 	3154834 
A,EU27_2020_FOR,PER,N_GE4,M,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1599462 	2099986 	3503093 	3572450 
A,EU27_2020_FOR,PER,N_GE4,M,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	33801 u	: u	163221 	250280 
A,EU27_2020_FOR,PER,N_GE4,M,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	1824506 	1805061 	3373169 	: 
A,EU27_2020_FOR,PER,N_GE4,M,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	91244 	135275 	210988 	354008 
A,EU27_2020_FOR,PER,N_GE4,M,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	748271 	1054704 	1945111 	2116346 
A,EU27_2020_FOR,PER,N_GE4,M,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	11148645 	14076626 	24423897 	25759881 
A,EU27_2020_FOR,PER,N_GE4,M,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	749828 	862494 	1291928 	1503123 
A,EU27_2020_FOR,PER,N_GE4,M,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	20713415 	29592930 	52923751 	56960459 
A,EU27_2020_FOR,PER,N_GE4,M,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	80502 	64638 	152874 	214446 
A,EU27_2020_FOR,PER,N_GE4,M,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	49728 	59927 	204623 	225477 
A,EU27_2020_FOR,PER,N_GE4,M,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	644660 	1229634 	2321372 	2616627 
A,EU27_2020_FOR,PER,N_GE4,M,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	25601673 	35717804 	65596975 	71094407 e
A,EU27_2020_FOR,PER,N_GE4,M,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	423130 	343991 	1441204 	1314239 
A,EU27_2020_FOR,PER,N_GE4,M,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	1715613 	3032029 	5094003 	5924800 
A,EU27_2020_FOR,PER,N_GE4,M,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	72031 u	52225 	132506 	221476 
A,EU27_2020_FOR,PER,N_GE4,M,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	426741 	538617 	1182770 	1402967 
A,EU27_2020_FOR,PER,N_GE4,M,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	303031 	378390 	1489818 	1721672 
A,EU27_2020_FOR,PER,N_GE4,M,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	601114 	997833 	2101022 	2153764 
A,EU27_2020_FOR,PER,N_GE4,M,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	95516 	134554 	307506 	341414 
A,EU27_2020_FOR,PER,N_GE4,M,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	370982 	456130 	699179 	626938 
A,EU27_2020_FOR,PER,N_GE4,M,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	50392 u	84198 	163294 	232410 
A,EU27_2020_FOR,PER,N_GE4,M,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	14980 u	44873 	: 	: 
A,EU27_2020_FOR,PER,N_GE4,M,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	32993 	63421 	137537 	182016 
A,EU27_2020_FOR,PER,N_GE4,M,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2210427 	3450092 	5797945 	6213306 
A,EU27_2020_FOR,PER,N_GE4,M,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	515459 	1697749 	1460660 
A,EU27_2020_FOR,PER,N_GE4,M,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	1962000 	2102807 	3172407 	3593318 
A,EU27_2020_FOR,PER,N_GE4,M,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	99955 	177350 	385271 	478116 
A,EU27_2020_FOR,PER,N_GE4,M,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	148211 	361927 	577854 	663024 
A,EU27_2020_FOR,PER,N_GE4,M,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	819405 	1173369 	4339933 	: 
A,EU27_2020_FOR,PER,N_GE4,M,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	271590 	450970 	633261 	773113 
A,EU27_2020_FOR,PER,N_GE4,M,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	163949 u	449680 	750429 	879473 
A,EU27_2020_FOR,PER,N_GE4,T,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	100136 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE4,T,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	1509525 	3796490 	6233127 	6767208 
A,EU27_2020_FOR,PER,N_GE4,T,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	3334623 	4350720 	7328722 	7426213 
A,EU27_2020_FOR,PER,N_GE4,T,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	68327 u	52552 u	378662 	521871 
A,EU27_2020_FOR,PER,N_GE4,T,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	3544666 	3929534 	6714367 	: 
A,EU27_2020_FOR,PER,N_GE4,T,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	180892 	242093 	550931 	754261 
A,EU27_2020_FOR,PER,N_GE4,T,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	1519440 	2111287 	3975823 	4268272 
A,EU27_2020_FOR,PER,N_GE4,T,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	21093336 	29363917 	49730781 	54962819 
A,EU27_2020_FOR,PER,N_GE4,T,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	1553903 	1647396 	2926009 	3131091 
A,EU27_2020_FOR,PER,N_GE4,T,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	40859636 	61838722 	110815404 	120265225 
A,EU27_2020_FOR,PER,N_GE4,T,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	150123 	181704 	356242 	461869 
A,EU27_2020_FOR,PER,N_GE4,T,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	111301 	156144 	393202 	456314 
A,EU27_2020_FOR,PER,N_GE4,T,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1375167 	2462203 	5110156 	5673381 
A,EU27_2020_FOR,PER,N_GE4,T,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	50198180 	73669245 	136043228 	148132476 e
A,EU27_2020_FOR,PER,N_GE4,T,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	850854 	688714 	2939832 	2664833 
A,EU27_2020_FOR,PER,N_GE4,T,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	3798503 	6495291 	11227270 	12382716 
A,EU27_2020_FOR,PER,N_GE4,T,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	143999 	134217 	308072 	474117 
A,EU27_2020_FOR,PER,N_GE4,T,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	857661 	1118313 	2451744 	2851711 
A,EU27_2020_FOR,PER,N_GE4,T,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	616327 	736660 	3261539 	3613183 
A,EU27_2020_FOR,PER,N_GE4,T,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	1161374 	2167764 	4449491 	4163488 
A,EU27_2020_FOR,PER,N_GE4,T,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	218640 	275113 	673348 	742527 
A,EU27_2020_FOR,PER,N_GE4,T,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	710634 	942748 	1350771 	1321680 
A,EU27_2020_FOR,PER,N_GE4,T,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	112354 u	178813 	421007 	510101 
A,EU27_2020_FOR,PER,N_GE4,T,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	24599 	85297 	: 	: 
A,EU27_2020_FOR,PER,N_GE4,T,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	64006 	133694 	281737 	366564 
A,EU27_2020_FOR,PER,N_GE4,T,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	4216625 	7301332 	12376177 	13065482 
A,EU27_2020_FOR,PER,N_GE4,T,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	1000149 	3555443 	3433261 
A,EU27_2020_FOR,PER,N_GE4,T,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	3604206 	3879804 	6545573 	7410921 
A,EU27_2020_FOR,PER,N_GE4,T,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	213276 	392276 	856712 	1058926 
A,EU27_2020_FOR,PER,N_GE4,T,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	313939 	731231 	1128025 	1383861 
A,EU27_2020_FOR,PER,N_GE4,T,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	1421067 	2289941 	7821988 	: 
A,EU27_2020_FOR,PER,N_GE4,T,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	579214 	954766 	1433954 	1576100 
A,EU27_2020_FOR,PER,N_GE4,T,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	418864 	884063 	1532334 	1823443 
A,EU27_2020_FOR,PROF,N1-3,F,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	54492 u	109901 u	215594 	276360 
A,EU27_2020_FOR,PROF,N1-3,F,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	88667 	57356 u	125228 	192252 
A,EU27_2020_FOR,PROF,N1-3,F,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PROF,N1-3,F,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,EU27_2020_FOR,PROF,N1-3,F,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	27789 u
A,EU27_2020_FOR,PROF,N1-3,F,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,EU27_2020_FOR,PROF,N1-3,F,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	583203 u	: u
A,EU27_2020_FOR,PROF,N1-3,F,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	99544 u
A,EU27_2020_FOR,PROF,N1-3,F,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	1501865 	1287412 	2447521 	2719365 
A,EU27_2020_FOR,PROF,N1-3,F,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	40337 u	61875 
A,EU27_2020_FOR,PROF,N1-3,F,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PROF,N1-3,F,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	96329 u	122943 u	209782 
A,EU27_2020_FOR,PROF,N1-3,F,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	1660559 	1536879 	3114859 	3504154 e
A,EU27_2020_FOR,PROF,N1-3,F,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	113006 u	193650 
A,EU27_2020_FOR,PROF,N1-3,F,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	309313 u	241742 u	554991 	398401 
A,EU27_2020_FOR,PROF,N1-3,F,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	24413 u	32713 u
A,EU27_2020_FOR,PROF,N1-3,F,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	31038 	28293 	57975 	77067 
A,EU27_2020_FOR,PROF,N1-3,F,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	18018 u	: u	: u	: u
A,EU27_2020_FOR,PROF,N1-3,F,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PROF,N1-3,F,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	17098 	29744 	47628 	56648 
A,EU27_2020_FOR,PROF,N1-3,F,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	76352 	21574 	35979 	68366 
A,EU27_2020_FOR,PROF,N1-3,F,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	32422 u	45006 u
A,EU27_2020_FOR,PROF,N1-3,F,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,EU27_2020_FOR,PROF,N1-3,F,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	7021 u	12972 
A,EU27_2020_FOR,PROF,N1-3,F,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	187175 	44736 u	272984 	286410 
A,EU27_2020_FOR,PROF,N1-3,F,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	121901 u	206256 u
A,EU27_2020_FOR,PROF,N1-3,F,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	24827 u	30333 u	88952 	144576 
A,EU27_2020_FOR,PROF,N1-3,F,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	25024 u	: u	55194 	65833 
A,EU27_2020_FOR,PROF,N1-3,F,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,EU27_2020_FOR,PROF,N1-3,F,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	25920 u	62756 	99005 
A,EU27_2020_FOR,PROF,N1-3,F,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	95791 u
A,EU27_2020_FOR,PROF,N1-3,M,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	332995 	458015 	683499 	716211 
A,EU27_2020_FOR,PROF,N1-3,M,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	120942 	147813 	390063 	473175 
A,EU27_2020_FOR,PROF,N1-3,M,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PROF,N1-3,M,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	216902 u	: 
A,EU27_2020_FOR,PROF,N1-3,M,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	45830 u	57026 
A,EU27_2020_FOR,PROF,N1-3,M,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	118811 u	: u	98205 u	245731 
A,EU27_2020_FOR,PROF,N1-3,M,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	1001546 u	522409 u	1920708 	2668481 
A,EU27_2020_FOR,PROF,N1-3,M,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	98271 u	153968 u	236633 
A,EU27_2020_FOR,PROF,N1-3,M,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	3529307 	3121334 	6462840 	8129940 
A,EU27_2020_FOR,PROF,N1-3,M,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	33201 u	46238 u	40764 u	99341 
A,EU27_2020_FOR,PROF,N1-3,M,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	28672 u
A,EU27_2020_FOR,PROF,N1-3,M,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	99720 u	182766 	377631 	485109 
A,EU27_2020_FOR,PROF,N1-3,M,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	4293605 	4042088 	8057074 	10087970 e
A,EU27_2020_FOR,PROF,N1-3,M,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	73532 u	108692 u	192987 	417193 
A,EU27_2020_FOR,PROF,N1-3,M,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	928177 	740265 	1329376 	1195902 
A,EU27_2020_FOR,PROF,N1-3,M,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	48377 u	131763 
A,EU27_2020_FOR,PROF,N1-3,M,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	130771 	129989 	182359 	162161 
A,EU27_2020_FOR,PROF,N1-3,M,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	34044 	: u	85425 u	130880 u
A,EU27_2020_FOR,PROF,N1-3,M,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	243038 u
A,EU27_2020_FOR,PROF,N1-3,M,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	51288 	49205 	75059 	95418 
A,EU27_2020_FOR,PROF,N1-3,M,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	38637 	73586 	120906 	164023 
A,EU27_2020_FOR,PROF,N1-3,M,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	36538 u	71478 u
A,EU27_2020_FOR,PROF,N1-3,M,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,EU27_2020_FOR,PROF,N1-3,M,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	15545 u	21773 u	16163 u	30718 
A,EU27_2020_FOR,PROF,N1-3,M,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	448615 	336965 	608734 	684359 
A,EU27_2020_FOR,PROF,N1-3,M,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	73597 u	383485 	340684 
A,EU27_2020_FOR,PROF,N1-3,M,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	207630 	272182 	354750 	461785 
A,EU27_2020_FOR,PROF,N1-3,M,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	53497 	64415 	99491 	102867 
A,EU27_2020_FOR,PROF,N1-3,M,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	270148 u	338300 u	790386 u	: 
A,EU27_2020_FOR,PROF,N1-3,M,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	36523 u	70709 	72411 	142242 
A,EU27_2020_FOR,PROF,N1-3,M,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	109485 u	135868 u	192042 
A,EU27_2020_FOR,PROF,N1-3,T,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	387488 	567916 	899093 	992572 
A,EU27_2020_FOR,PROF,N1-3,T,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	209609 	205170 	515291 	665427 
A,EU27_2020_FOR,PROF,N1-3,T,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PROF,N1-3,T,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	247026 u	: 
A,EU27_2020_FOR,PROF,N1-3,T,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	32199 u	: u	53754 u	84815 
A,EU27_2020_FOR,PROF,N1-3,T,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	118811 u	: u	131109 u	278260 
A,EU27_2020_FOR,PROF,N1-3,T,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	1458658 	1039158 u	2503911 	3113362 
A,EU27_2020_FOR,PROF,N1-3,T,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	139958 u	220353 u	336177 
A,EU27_2020_FOR,PROF,N1-3,T,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	5031172 	4408747 	8910361 	10849306 
A,EU27_2020_FOR,PROF,N1-3,T,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	50396 u	68442 	81101 	161216 
A,EU27_2020_FOR,PROF,N1-3,T,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	14626 u	: u	19846 u	34704 u
A,EU27_2020_FOR,PROF,N1-3,T,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	136833 	279096 	500574 	694891 
A,EU27_2020_FOR,PROF,N1-3,T,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	5954164 	5578967 	11171933 	13592123 e
A,EU27_2020_FOR,PROF,N1-3,T,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	99344 u	116753 u	305993 	610843 
A,EU27_2020_FOR,PROF,N1-3,T,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	1237491 	982007 	1884368 	1594303 
A,EU27_2020_FOR,PROF,N1-3,T,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	27616 u	34088 u	72791 	164476 
